,date,text,username,day_of_week,hour,safe,time_bin,label
0,2020-03-23 13:57:44-04:00,"Omg @Instacart - y’all better not mess this up. I needed groceries yesterday, not next week. Fingers crossed y’all @Wegmans – at Prospect Park",JordanGazay,Monday,13,,2020-03-23 13:50:00,
1,2020-03-23 14:10:14-04:00,"𝐐𝐔𝐄𝐒𝐓𝐈𝐎𝐍 | Are you moving for thirty minutes every day? Even if it’s as simple as going for a walk around your neighborhood to get some fresh air, I can’t recommend doing this enough for your physical and… https://www.instagram.com/p/B-FfC_0n1lq/?igshid=ylf7xrxe4746",lifenleggings,Monday,14,0.0,2020-03-23 14:05:00,1.0
2,2020-03-23 15:03:32-04:00,"#newnormal Day 8 Oh dayum, did Governor #andrewcuomo just yell at me?? That’s Prospect Park, MY park! I live just a few doors down from that building and I’ve been in that park everyday… https://www.instagram.com/p/B-FlJUBJ1UkEH9fhp2vorMV6knvVNkO_oDm10Y0/?igshid=zkwcvphxmu9l",miles_randy,Monday,15,,2020-03-23 14:50:00,
3,2020-03-23 18:14:17-04:00,#isolation #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #jupiter37a135mm #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospectpark @… https://www.instagram.com/p/B-F6-a_JvCe/?igshid=1f3a8h2a3oq9j,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
4,2020-03-23 18:15:25-04:00,#isolation #prospectpark #fishing #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #jupiter37a135mm #adaptedlens #manualfocus #nycphotographer @nycprimeshot… https://www.instagram.com/p/B-F7Gr7pUmx/?igshid=11x5o1duppyv1,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
5,2020-03-23 18:17:12-04:00,#isolation #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospectpark @… https://www.instagram.com/p/B-F7T5sJnxY/?igshid=1xsxbnzclhyqp,andrewbwhite1,Monday,18,,2020-03-23 18:05:00,
6,2020-03-24 08:43:00-04:00, 50 Copies of A GOOD MARRIAGE are up for grabs on Goodsreads right now! (closes March 27th; link in bio) And entering is an EXCELLENT quarantine distraction! So glad to hear you were a winner last time… https://www.instagram.com/p/B-HeZAuACQj/?igshid=lp1p30klaof,kimmccreight,Tuesday,8,,2020-03-24 08:35:00,
7,2020-03-24 10:33:51-04:00,I see you #Letsgrowtogether – at Prospect Park - Parkside,daniel_mcknight,Tuesday,10,,2020-03-24 10:20:00,
8,2020-03-24 13:30:53-04:00,e v e r y t h i n g. w a s. b l u e. @Prospect Park - East Drive https://www.instagram.com/p/B-H_Vwwlc62/?igshid=1o8ztbdxidtow,malward314,Tuesday,13,,2020-03-24 13:20:00,
9,2020-03-24 13:59:44-04:00,lunch break with – at Prospect Park,harharbinks,Tuesday,13,,2020-03-24 13:50:00,
10,2020-03-24 16:38:26-04:00,Tough to cash out when it was so far down from 900+. I did similar. Stings but so much uncertainty right now. Appreciate your honesty.,fatespeakstruth,Tuesday,16,,2020-03-24 16:35:00,
11,2020-03-24 18:27:50-04:00,#geese #canadageese #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospect @… https://www.instagram.com/p/B-IhUd_pZze/?igshid=1oo34wevx0xph,andrewbwhite1,Tuesday,18,,2020-03-24 18:20:00,
12,2020-03-24 18:31:18-04:00,#ducks #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot prospect @Prospect Park https://www.instagram.com/p/B-Iht-vJPT6/?igshid=iaxyabhoxaho,andrewbwhite1,Tuesday,18,,2020-03-24 18:20:00,
13,2020-03-24 18:38:43-04:00,Is spring coming soon?. . #chihuahualove #prospectpark @Prospect Park https://www.instagram.com/p/B-Iikekg79v/?igshid=7yp45d0mrirx,leaminami,Tuesday,18,,2020-03-24 18:35:00,
14,2020-03-24 18:42:28-04:00,Can someone ID this #duck #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii #pentax50mmf12 #adaptedlens #manualfocus #nycphotographer @nycprimeshot… https://www.instagram.com/p/B-Ii_q8piFq/?igshid=1x4dljvznmzaz,andrewbwhite1,Tuesday,18,,2020-03-24 18:35:00,
15,2020-03-24 21:53:49-04:00,Pork katsu on deck and I’m beginning to question how bad quarantine actually is. #cookingwithjohn #alonetogether #fuckthatsdelicious johnnymac15 @Park Slope Historic District https://www.instagram.com/p/B-I45RZD-Bw/?igshid=1gbedx7trbhpk,armadillofancyp,Tuesday,21,,2020-03-24 21:50:00,
16,2020-03-24 23:13:53-04:00,Did you #goskate on #sunday #sundayfunday #skate #skating #inlineskating #rollerblading #nycskate #icapture_michael_grebinsky #takinoskates #bonesbearings #mpc #mpcwheels #canariam #empireskate… https://www.instagram.com/p/B-JBDWRpkNS/?igshid=1gz1t2ij36mvn,Mgrebinsky,Tuesday,23,,2020-03-24 23:05:00,
17,2020-03-25 11:38:12-04:00, @Prospect Park https://www.instagram.com/p/B-KXPMQg4nOIxwloXKJaQK_BlBCiZ6YjmuKs9M0/?igshid=koslo235aemf,scout_weird,Wednesday,11,,2020-03-25 11:35:00,
18,2020-03-25 11:41:14-04:00,"Eu sei que muitos já respostaram o poema da americana Kitty O'Meara, mas a mensagem é tão calmante que vale compartilhar mais uma vez aqui E as pessoas ficaram em casa. E leram livros, ouviram, descansaram, se… https://www.instagram.com/p/B-KXlh_AJWz/?igshid=14otzpgvm0vne",pequenoviajante,Wednesday,11,0.0,2020-03-25 11:35:00,1.0
19,2020-03-25 13:18:54-04:00,the fact that people are still in prospect park is crazy – at Prospect Park,LittyLeek,Wednesday,13,,2020-03-25 13:05:00,
20,2020-03-25 14:10:44-04:00,A fitting James Baldwin quote in Prospect Park this morning – at Prospect Park,tminsberg,Wednesday,14,1.0,2020-03-25 14:05:00,0.0
21,2020-03-25 15:38:52-04:00,Social distancing day! Great day to get fresh air and not have to worry about being too close! @Prospect Park https://www.instagram.com/p/B-KyqTfDZUu/?igshid=qf684wmq4mlu,parkslope5thave,Wednesday,15,1.0,2020-03-25 15:35:00,0.0
22,2020-03-25 18:17:28-04:00,With NY on lockdown minus some yard time to exercise all of Brooklyn is my park. – at Prospect Park,Oldmanriverwalk,Wednesday,18,,2020-03-25 18:05:00,
23,2020-03-25 20:54:26-04:00,#SocialDistancing in Brooklyn,mannysister,Wednesday,20,,2020-03-25 20:50:00,
24,2020-03-25 22:40:49-04:00,Don’t you think my shadow is even cuter?. . #chihuahua #prospectpark @Prospect Park https://www.instagram.com/p/B-LjEiUAHzC/?igshid=16oeezanxooid,leaminami,Wednesday,22,,2020-03-25 22:35:00,
25,2020-03-26 02:46:50-04:00,Did you #goskate on #tuesday #tuesdayfunday #skate #skating #inlineskating #rollerblading #speedskating #skatingspeedinline #nycskate #icapture_michael_grebinsky #empireskate #wednesdaynightskatenyc… https://www.instagram.com/p/B-L97zNp_nv/?igshid=1bdsord0e5tk4,Mgrebinsky,Thursday,2,,2020-03-26 02:35:00,
26,2020-03-26 08:11:01-04:00,Just posted a photo @Prospect Park https://www.instagram.com/p/B-MkUi_jSzr/?igshid=hhjpwywag1oe,parkslope5thave,Thursday,8,,2020-03-26 08:05:00,
27,2020-03-26 11:27:10-04:00,SMC Pentax 50mm f1.2 shot directly into sunlight (with correct hood). Super sharp and very little flaring. #prospectpark #prospectparkalliance #nature #spring #brooklyn #newyorkcity #portrait #andrewbwhite #sonya7iii… https://www.instagram.com/p/B-M6xPDpGgE/?igshid=yfchnu96l9rk,andrewbwhite1,Thursday,11,,2020-03-26 11:20:00,
28,2020-03-26 11:37:18-04:00,"@thomyorke sorry to bother, but TicketMaster is saying that your concert in NYC this Tuesday is taking place which is crazy and irresponsible. Is there anything you can do? I don’t know who else to contact.",jiserra,Thursday,11,,2020-03-26 11:35:00,
29,2020-03-26 11:39:46-04:00,NB: these photos were taken the other week This is another great lens - the Soviet made Jupiter 37A 135mm f3.5 M42 mount. My version is from 1979 and cost $10 at a yard sale. Based on the Carl Zeiss Sonnar 135mm… https://www.instagram.com/p/B-M8NfSJqV8/?igshid=in280d8u70qf,andrewbwhite1,Thursday,11,,2020-03-26 11:35:00,
30,2020-03-26 12:12:43-04:00,@Ticketmaster get your shit together and cancel all the NYC events. This is not a normal situation. In your website the @thomyorke concert is still happening when the official website says that it’s postponed. Your representatives aren’t giving me the right answer.,jiserra,Thursday,12,,2020-03-26 12:05:00,
31,2020-03-26 14:00:46-04:00,"In these dark days of social distancing and despair its important to get outside, look up at the sky, feel the sun on your face, feel your breath rhythmical align with that of humanity, and understand that this too… https://www.instagram.com/p/B-NMWTCJJOq/?igshid=s2t2cywg2udr",scotthockens,Thursday,14,,2020-03-26 13:50:00,
32,2020-03-26 14:05:59-04:00,Kudos to our men and women of the @NYPDnews for keeping us safe during #COVID19 – at Prospect Park,abbydart,Thursday,14,0.0,2020-03-26 14:05:00,1.0
33,2020-03-26 16:17:50-04:00,Is barbershop quartet practice in Brooklyn immune from the social distancing order? – at Prospect Park,Pervaizistan,Thursday,16,,2020-03-26 16:05:00,
34,2020-03-26 17:32:04-04:00,the shake at the very end kills me // @Mac10colorado – at Prospect Park,harharbinks,Thursday,17,,2020-03-26 17:20:00,
35,2020-03-26 17:39:19-04:00,What a day – at Prospect Park,thatJohann,Thursday,17,1.0,2020-03-26 17:35:00,0.0
36,2020-03-26 17:44:59-04:00,Sunshine break with a couple of bike loops and a little sit by the lake. Glad to find some breathing space here today. @Prospect Park https://www.instagram.com/p/B-NmAjmgUPu/?igshid=17uagfh4mu3h5,vermilionink,Thursday,17,,2020-03-26 17:35:00,
37,2020-03-26 17:48:19-04:00,Lake birds. A nice change from my fire escape doves! @Prospect Park https://www.instagram.com/p/B-NmY99AE0y/?igshid=13swyb08t80sf,vermilionink,Thursday,17,,2020-03-26 17:35:00,
38,2020-03-26 17:49:29-04:00,"Uphill, with cherry blossoms @Prospect Park https://www.instagram.com/p/B-Nmhi5gy-6/?igshid=1vnh9hv516j2b",vermilionink,Thursday,17,1.0,2020-03-26 17:35:00,0.0
39,2020-03-26 19:38:48-04:00,"Spring is still beautiful even during a nasty virus, though quickly viewed through a short walk through #prospectpark today. (We haven’t been out of the house for days). Such a strange experience with social… https://www.instagram.com/p/B-NzB1pnb5G/?igshid=14fjfz0a8jtom",ZiaPriven,Thursday,19,,2020-03-26 19:35:00,
40,2020-03-26 20:13:43-04:00,"Coloring Cali Condor couple. DM me for #commission #sponsorship #donate #6 #Lovers #SWEPT #art #birdwar #tarot #surreal #noahxarts #bird (@Brooklyn Badass Boot Camp in Brooklyn, NY) https://www.swarmapp.com/c/egMwRyRvZjE",NoahXArts,Thursday,20,,2020-03-26 20:05:00,
41,2020-03-26 21:21:44-04:00,Sanity walk... I love long shadows... #sanitywalk #quarantine #brooklyn #springtime #chirpingbirds @Prospect Park https://www.instagram.com/p/B-N-pQLnU62/?igshid=4rtz4rkab7yc,jolenesiana,Thursday,21,,2020-03-26 21:20:00,
42,2020-03-27 12:28:02-04:00,"To the doctors, nurses, nurse practitioners, orderlies, physician assistants, lab technicians, hospital cleaning staff and all other medical professionals saving the world: THANK YOU for risking everything for all… https://www.instagram.com/p/B-PmiFCAmQ9/?igshid=1dcxlmw2s3klg",kimmccreight,Friday,12,,2020-03-27 12:20:00,
43,2020-03-27 13:22:52-04:00,Reading about the neurodivergent brain and how to get better at work. I don’t have Asperger’s (that I know of lol) but I since ADHD is debated as being on the spectrum I figure something will be useful for my hyper focused – at Prospect Park (Nethermead),ThatsOD_e,Friday,13,,2020-03-27 13:20:00,
44,2020-03-27 14:10:04-04:00,Social Distancing Prospect Park Trail and Meadows run @Prospect Park https://www.instagram.com/p/B-PyNMjpwCl/?igshid=17o81gykt9ns6,brooklynkid1951,Friday,14,,2020-03-27 14:05:00,
45,2020-03-27 14:23:51-04:00,Drops of pink @Park Slope Historic District https://www.instagram.com/p/B-PzyPzgZsG/?igshid=kzdx092oo3es,vermilionink,Friday,14,,2020-03-27 14:20:00,
46,2020-03-27 15:52:44-04:00,SOUND ON – at Prospect Park,harharbinks,Friday,15,,2020-03-27 15:50:00,
47,2020-03-27 17:58:55-04:00,"Spring shall wait for no man (or virus!), gorgeous cascades of blossoms for the spirit. – at Prospect Park",TeresaPesek,Friday,17,,2020-03-27 17:50:00,
48,2020-03-27 19:01:47-04:00, @Prospect Park https://www.instagram.com/p/B-QTeQfj5Rn/?igshid=11qg64ys5l0dx,Vanessa_Cajucom,Friday,19,,2020-03-27 18:50:00,
49,2020-03-27 19:03:39-04:00,SOUND ON. Park Slope cheering during the shift change at Methodist Hospital #covid19 #healthcareheros @Park Slope Historic District https://www.instagram.com/p/B-QTpMlnG06/?igshid=1ggoulp4bu9h7,KatDamkoehler,Friday,19,,2020-03-27 18:50:00,
50,2020-03-27 19:18:45-04:00,"Amazing warm 17 degree Spring day... air so clean and warm. What a treat after 4 days inside during the daytime, only doing night walks, nice as they were. – at Long Meadow",danlatorre,Friday,19,,2020-03-27 19:05:00,
51,2020-03-27 20:08:28-04:00,#newnormal day 12 Came up with a new word on my bike ride tonight: disassion (dis-ˈSA-shən) The compassion between strangers that arises in times of disaster. People are just nicer to… https://www.instagram.com/p/B-QbOQ8joZg89bz7HcHTDibLHb4bjkwAt0F29E0/?igshid=18kh1ebspnh57,miles_randy,Friday,20,,2020-03-27 20:05:00,
52,2020-03-28 00:40:24-04:00,"Surreal living through the epicenter of a pandemic in the 21st century and watching everyone stop to take a picture of this for their own social media as well – at Prospect Park 9th St Entrance, Lafayette Monument",platypus_shark,Saturday,0,,2020-03-28 00:35:00,
53,2020-03-28 06:44:56-04:00,My adventures to New York. Brooklyn. Prospect park October 31st-November 4th 2019 – at Prospect Park,sslxt_,Saturday,6,,2020-03-28 06:35:00,
54,2020-03-28 09:32:12-04:00,Some empty #streets in #parkslope #brooklyn @Park Slope Historic District https://www.instagram.com/p/B-R3NFbDsRy/?igshid=1wanrn35h027o,dcomposer,Saturday,9,,2020-03-28 09:20:00,
55,2020-03-28 09:37:10-04:00,#newnormal day 13 Pretty much sums up my plans for the day. How ‘bout you? @Park Slope Historic District https://www.instagram.com/p/B-R3xjcDyqqi9o954v7z08ymMmQXAIrR1ET60Y0/?igshid=1jfi7adi03oz8,miles_randy,Saturday,9,,2020-03-28 09:35:00,
56,2020-03-28 18:23:19-04:00,"Many have reached out to check on us during this time. New York has been severely impacted by the situation, and we’ve lost so many. I know dark times are now and ahead, but it’s given me hope to see communities… https://www.instagram.com/p/B-Sz_A6lDRQ/?igshid=103bafsibz2wg",malward314,Saturday,18,,2020-03-28 18:20:00,
57,2020-03-28 20:59:57-04:00,Throwbacks @Park Slope Historic District https://www.instagram.com/p/B-TF6NCA_Rw/?igshid=ihral9kgpirr,DonMcKenzie,Saturday,20,,2020-03-28 20:50:00,
58,2020-03-28 21:39:11-04:00,johnnymac15 crushing it. #brooklynlockdown #nom @Park Slope Historic District https://www.instagram.com/p/B-TKZwODPOa/?igshid=vgjg0v61hjoh,armadillofancyp,Saturday,21,,2020-03-28 21:35:00,
59,2020-03-29 10:01:09-04:00, . . – at Prospect Park,jcheiffetz,Sunday,10,,2020-03-29 09:50:00,
60,2020-03-29 11:08:18-04:00,Running in the rain @Prospect Park https://www.instagram.com/p/B-Um_srpbxf/?igshid=1n3gbod53gv7d,brooklynkid1951,Sunday,11,,2020-03-29 11:05:00,
61,2020-03-29 13:12:33-04:00,#StayAtHomeAndStaySafe #stayhome #CoronaUpdate #COVID19 #CovidNYC #COVIDIDIOTS – at Prospect Park,JordanGazay,Sunday,13,,2020-03-29 13:05:00,
62,2020-03-29 13:55:33-04:00,Lazy Sunday working. #cindylouwho #pupstagram #dogsofbrooklyn #brooklynlockdown @Park Slope Historic District https://www.instagram.com/p/B-U6I0VjbMK/?igshid=m1hams0jxwnp,armadillofancyp,Sunday,13,,2020-03-29 13:50:00,
63,2020-03-29 14:20:31-04:00,"Quarantine or not, Brooklyn brunches on Sundays. #brooklynlockdown #nom johnnymac15 @Park Slope Historic District https://www.instagram.com/p/B-U8_rzDotc/?igshid=17n024qf3laq5",armadillofancyp,Sunday,14,,2020-03-29 14:20:00,
64,2020-03-29 15:35:39-04:00,"Quarantine got you down? If all else fails, bake a bright pink cake. There are so few things in life for which there is no downside. This is one of them. #ParkSlopeSundays #quarantinelife #author #baking… https://www.instagram.com/p/B-VFl6sAP92/?igshid=sgkdbnb7gso4",kimmccreight,Sunday,15,1.0,2020-03-29 15:35:00,0.0
65,2020-03-29 17:13:15-04:00,"I'm at Prospect Park - @nycparks in Brooklyn, NY w/ @evelinechao",MarcHadfield,Sunday,17,,2020-03-29 17:05:00,
66,2020-03-29 17:24:48-04:00,#prospectpark #propectparkzoo #weathervane #brooklyn #newyorkcity #portrait #andrewbwhite #jupiter37a #adaptedlens #manualfocus #nycphotographer @nycprimeshot #nycphotography @Prospect Park https://www.instagram.com/p/B-VSFXYJy-n/?igshid=1xlepria2d42d,andrewbwhite1,Sunday,17,,2020-03-29 17:20:00,
67,2020-03-29 23:13:39-04:00,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary – at Prospect Park,Cappo21,Sunday,23,,2020-03-29 23:05:00,
68,2020-03-29 23:40:29-04:00,Quarantine dream. #cindylouwho #brooklynlockdown #brooklynlockdown #minidach #dogsofbrooklyn @Park Slope Historic District https://www.instagram.com/p/B-V9FBfj1p_/?igshid=10cuspsr6wujv,armadillofancyp,Sunday,23,,2020-03-29 23:35:00,
69,2020-03-30 09:43:51-04:00,HOW TO KEEP YOUR WIFE INTERESTED FOR 99.5 YEARS! #interestedforyears #relationships http://bit.ly/1gyiyfc,BumBumJones,Monday,9,,2020-03-30 09:35:00,
70,2020-03-30 10:26:04-04:00,Strange that s and x are excluded from this.,fatespeakstruth,Monday,10,,2020-03-30 10:20:00,
